Date ,Revenue,Product ID,Quantity Sold
2024-05-01,"Rs. 5,421.00",PRD237,63
2024-05-02,"Rs. 6,897.00",PRD154,74
2024-05-03,"Rs. 4,785.00",PRD056,51
2024-05-04,"Rs. 7,210.00",PRD302,68
2024-05-05,"Rs. 6,325.00",PRD115,59
2024-05-06,"Rs. 5,743.00",PRD208,55
2024-05-07,"Rs. 6,982.00",PRD101,72
2024-05-08,"Rs. 5,120.00",PRD398,47
2024-05-09,"Rs. 6,756.00",PRD213,69
2024-05-10,"Rs. 7,348.00",PRD177,81
2024-05-11,"Rs. 6,293.00",PRD302,64
2024-05-12,"Rs. 5,874.00",PRD154,53
2024-05-13,"Rs. 6,829.00",PRD237,68
2024-05-14,"Rs. 7,496.00",PRD056,79
2024-05-15,"Rs. 8,165.00",PRD115,87
2024-05-16,"Rs. 6,930.00",PRD398,76
2024-05-17,"Rs. 7,492.00",PRD208,72
2024-05-18,"Rs. 8,114.00",PRD101,85
2024-05-19,"Rs. 6,855.00",PRD213,67
2024-05-20,"Rs. 9,263.00",PRD177,91
2024-05-21,"Rs. 7,895.00",PRD302,81
2024-05-22,"Rs. 8,479.00",PRD154,88
2024-05-23,"Rs. 9,021.00",PRD237,94
2024-05-24,"Rs. 9,284.00",PRD056,92
2024-05-25,"Rs. 10,472.00",PRD115,105
2024-05-26,"Rs. 8,853.00",PRD398,89
2024-05-27,"Rs. 9,674.00",PRD208,99
2024-05-28,"Rs. 10,789.00",PRD101,110
2024-05-29,"Rs. 9,083.00",PRD213,96
2024-05-30,"Rs. 12,105.00",PRD177,126
2024-05-31,"Rs. 10,423.00",PRD302,108
2024-06-01,"Rs. 11,194.00",PRD154,113
2024-06-02,"Rs. 11,675.00",PRD237,120
2024-06-03,"Rs. 12,592.00",PRD056,130
2024-06-04,"Rs. 13,785.00",PRD115,143
2024-06-05,"Rs. 11,876.00",PRD398,124
2024-06-06,"Rs. 13,592.00",PRD208,136
2024-06-07,"Rs. 15,047.00",PRD101,152
2024-06-08,"Rs. 12,894.00",PRD213,132
2024-06-09,"Rs. 17,236.00",PRD177,175
2024-06-10,"Rs. 14,923.00",PRD302,153
2024-06-11,"Rs. 16,127.00",PRD154,167
2024-06-12,"Rs. 16,785.00",PRD237,172
2024-06-13,"Rs. 18,542.00",PRD056,189
2024-06-14,"Rs. 20,103.00",PRD115,205
2024-06-15,"Rs. 17,456.00",PRD398,177
2024-06-16,"Rs. 19,932.00",PRD208,192
2024-06-17,"Rs. 21,894.00",PRD101,213
2024-06-18,"Rs. 18,763.00",PRD213,186
2024-06-19,"Rs. 24,385.00",PRD177,232
2024-06-20,"Rs. 20,987.00",PRD302,199
2024-06-21,"Rs. 22,945.00",PRD154,214
2024-06-22,"Rs. 23,789.00",PRD237,224
2024-06-23,"Rs. 25,987.00",PRD056,245
2024-06-24,"Rs. 28,765.00",PRD115,267
2024-06-25,"Rs. 24,763.00",PRD398,233
2024-06-26,"Rs. 27,654.00",PRD208,254
2024-06-27,"Rs. 30,987.00",PRD101,281
2024-06-28,"Rs. 26,589.00",PRD213,239
2024-06-29,"Rs. 35,698.00",PRD177,320
2024-06-30,"Rs. 29,876.00",PRD302,281
2024-07-01,"Rs. 32,234.00",PRD154,307
2024-07-02,"Rs. 34,210.00",PRD237,325
2024-07-03,"Rs. 37,896.00",PRD056,363
2024-07-04,"Rs. 41,235.00",PRD115,397
2024-07-05,"Rs. 35,210.00",PRD398,340
2024-07-06,"Rs. 38,976.00",PRD208,375
2024-07-07,"Rs. 43,890.00",PRD101,422
2024-07-08,"Rs. 37,123.00",PRD213,358
2024-07-09,"Rs. 50,234.00",PRD177,491
2024-07-10,"Rs. 42,765.00",PRD302,415
2024-07-11,"Rs. 46,432.00",PRD154,447
2024-07-12,"Rs. 48,632.00",PRD237,468
2024-07-13,"Rs. 52,987.00",PRD056,512
2024-07-14,"Rs. 58,234.00",PRD115,564
2024-07-15,"Rs. 49,876.00",PRD398,487
2024-07-16,"Rs. 54,987.00",PRD208,538
2024-07-17,"Rs. 61,894.00",PRD101,603
2024-07-18,"Rs. 52,765.00",PRD213,519
2024-07-19,"Rs. 71,023.00",PRD177,708
2024-07-20,"Rs. 60,234.00",PRD302,601
2024-07-21,"Rs. 65,432.00",PRD154,648
2024-07-22,"Rs. 68,923.00",PRD237,682
2024-07-23,"Rs. 75,894.00",PRD056,751
2024-07-24,"Rs. 84,236.00",PRD115,833
2024-07-25,"Rs. 72,654.00",PRD398,722
2024-07-26,"Rs. 79,876.00",PRD208,797
2024-07-27,"Rs. 89,765.00",PRD101,897
2024-07-28,"Rs. 76,543.00",PRD213,765
2024-07-29,"Rs. 102,345.00",PRD177,1012
2024-07-30,"Rs. 87,654.00",PRD302,876
