Date,Revenue,Product ID,Quantity Sold,Sales,Customer ID,Transcation ID,Payment Method,Shipping Cost
2024-05-01,"Rs. 5,421.00",PRD237,63,120,C1001,T1001,Fonepay,0
2024-05-02,"Rs. 6,897.00",PRD154,74,130,C1002,T1002,Credit Card,0
2024-05-03,"Rs. 4,785.00",PRD056,51,143,C1003,T1003,Credit,0
2024-05-04,"Rs. 7,210.00",PRD302,68,124,C1004,T1004,Cash,3
2024-05-05,"Rs. 6,325.00",PRD115,59,136,C1005,T1005,Credit Card,0
2024-05-06,"Rs. 5,743.00",PRD208,55,152,C1006,T1006,Credit Card,0
2024-05-07,"Rs. 6,982.00",PRD101,72,132,C1007,T1007,Cash,0
2024-05-08,"Rs. 5,120.00",PRD398,47,175,C1008,T1008,Fonepay,0
2024-05-09,"Rs. 6,756.00",PRD213,69,153,C1009,T1009,Cash,0
2024-05-10,"Rs. 7,348.00",PRD177,81,167,C1010,T1010,Cash,0
2024-05-11,"Rs. 6,293.00",PRD302,64,172,C1011,T1011,Credit,0
2024-05-12,"Rs. 5,874.00",PRD154,53,189,C1012,T1012,Fonepay,0
2024-05-13,"Rs. 6,829.00",PRD237,68,205,C1013,T1013,Credit,0
2024-05-14,"Rs. 7,496.00",PRD056,79,177,C1014,T1014,Credit,0
2024-05-15,"Rs. 8,165.00",PRD115,87,192,C1015,T1015,Cash,1
2024-05-16,"Rs. 6,930.00",PRD398,76,213,C1016,T1016,Fonepay,0
2024-05-17,"Rs. 7,492.00",PRD208,72,186,C1017,T1017,Fonepay,1
2024-05-18,"Rs. 8,114.00",PRD101,85,232,C1018,T1018,Credit Card,0
2024-05-19,"Rs. 6,855.00",PRD213,67,199,C1019,T1019,Fonepay,0
2024-05-20,"Rs. 9,263.00",PRD177,91,214,C1020,T1020,Credit,0
2024-05-21,"Rs. 7,895.00",PRD302,81,224,C1021,T1021,Credit Card,0
2024-05-22,"Rs. 8,479.00",PRD154,88,245,C1022,T1022,Credit,0
2024-05-23,"Rs. 9,021.00",PRD237,94,267,C1023,T1023,Cash,0
2024-05-24,"Rs. 9,284.00",PRD056,92,233,C1024,T1024,Fonepay,0
2024-05-25,"Rs. 10,472.00",PRD115,105,254,C1025,T1025,Credit,7
2024-05-26,"Rs. 8,853.00",PRD398,89,281,C1026,T1026,Cash,0
2024-05-27,"Rs. 9,674.00",PRD208,99,239,C1027,T1027,Fonepay,0
2024-05-28,"Rs. 10,789.00",PRD101,110,320,C1028,T1028,Credit Card,0
2024-05-29,"Rs. 9,083.00",PRD213,96,281,C1029,T1029,Credit,1
2024-05-30,"Rs. 12,105.00",PRD177,126,307,C1030,T1030,Cash,1
2024-05-31,"Rs. 10,423.00",PRD302,108,325,C1031,T1031,Fonepay,0
2024-06-01,"Rs. 11,194.00",PRD154,113,363,C1032,T1032,Credit Card,5
2024-06-02,"Rs. 11,675.00",PRD237,120,397,C1033,T1033,Cash,0
2024-06-03,"Rs. 12,592.00",PRD056,130,186,C1034,T1034,Credit,0
2024-06-04,"Rs. 13,785.00",PRD115,143,232,C1035,T1035,Fonepay,0
2024-06-05,"Rs. 11,876.00",PRD398,124,199,C1036,T1036,Cash,0
2024-06-06,"Rs. 13,592.00",PRD208,136,214,C1037,T1037,Credit,0
2024-06-07,"Rs. 15,047.00",PRD101,152,224,C1038,T1038,Credit Card,6
2024-06-08,"Rs. 12,894.00",PRD213,132,245,C1039,T1039,Fonepay,0
2024-06-09,"Rs. 17,236.00",PRD177,175,267,C1040,T1040,Credit,0
2024-06-10,"Rs. 14,923.00",PRD302,153,233,C1041,T1041,Credit Card,0
2024-06-11,"Rs. 16,127.00",PRD154,167,254,C1042,T1042,Cash,0
2024-06-12,"Rs. 16,785.00",PRD237,172,281,C1043,T1043,Fonepay,0
2024-06-13,"Rs. 18,542.00",PRD056,189,239,C1044,T1044,Credit,0
2024-06-14,"Rs. 20,103.00",PRD115,205,320,C1045,T1045,Credit Card,0
2024-06-15,"Rs. 17,456.00",PRD398,177,281,C1046,T1046,Cash,0
2024-06-16,"Rs. 19,932.00",PRD208,192,307,C1047,T1047,Fonepay,0
2024-06-17,"Rs. 21,894.00",PRD101,213,325,C1048,T1048,Cash,5
2024-06-18,"Rs. 18,763.00",PRD213,186,363,C1049,T1049,Credit,0
2024-06-19,"Rs. 24,385.00",PRD177,232,397,C1050,T1050,Fonepay,0
2024-06-20,"Rs. 20,987.00",PRD302,199,340,C1051,T1051,Credit Card,0
2024-06-21,"Rs. 22,945.00",PRD154,214,375,C1052,T1052,Fonepay,0
2024-06-22,"Rs. 23,789.00",PRD237,224,422,C1053,T1053,Credit Card,3
2024-06-23,"Rs. 25,987.00",PRD056,245,358,C1054,T1054,Cash,0
2024-06-24,"Rs. 28,765.00",PRD115,267,491,C1055,T1055,Credit,0
2024-06-25,"Rs. 24,763.00",PRD398,233,415,C1056,T1056,Fonepay,0
2024-06-26,"Rs. 27,654.00",PRD208,254,447,C1057,T1057,Credit,0
2024-06-27,"Rs. 30,987.00",PRD101,281,468,C1058,T1058,Cash,2
2024-06-28,"Rs. 26,589.00",PRD213,239,512,C1059,T1059,Credit Card,0
2024-06-29,"Rs. 35,698.00",PRD177,320,564,C1060,T1060,Fonepay,0
2024-06-30,"Rs. 29,876.00",PRD302,281,519,C1061,T1061,Credit Card,0
2024-07-01,"Rs. 32,234.00",PRD154,307,708,C1062,T1062,Cash,1
2024-07-02,"Rs. 34,210.00",PRD237,325,601,C1063,T1063,Fonepay,0
2024-07-03,"Rs. 37,896.00",PRD056,363,648,C1064,T1064,Credit,0
2024-07-04,"Rs. 41,235.00",PRD115,397,682,C1065,T1065,Credit,0
2024-07-05,"Rs. 35,210.00",PRD398,340,751,C1066,T1066,Cash,0
2024-07-06,"Rs. 38,976.00",PRD208,375,833,C1067,T1067,Fonepay,0
2024-07-07,"Rs. 43,890.00",PRD101,422,722,C1068,T1068,Credit Card,3
2024-07-08,"Rs. 37,123.00",PRD213,358,797,C1069,T1069,Credit,0
2024-07-09,"Rs. 50,234.00",PRD177,491,897,C1070,T1070,Fonepay,0
2024-07-10,"Rs. 42,765.00",PRD302,415,765,C1071,T1071,Cash,0
2024-07-11,"Rs. 46,432.00",PRD154,447,1012,C1072,T1072,Credit,0
2024-07-12,"Rs. 48,632.00",PRD237,468,876,C1073,T1073,Credit Card,2
2024-07-13,"Rs. 52,987.00",PRD056,512,53,C1074,T1074,Fonepay,0
2024-07-14,"Rs. 58,234.00",PRD115,564,68,C1075,T1075,Cash,0
2024-07-15,"Rs. 49,876.00",PRD398,487,79,C1076,T1076,Credit Card,0
